,fips,NatWalkInd,TotPop,ResidentialDensity,PopulationDensity,EmploymentDensity,PctLowWage,County,State
1764,37189,6.666666667,54117,0.275146007,0.290005828,0.081376888,0.2785853577096774,Watauga,NC
1765,37191,5.333333333,124002,0.227576295,0.495353946,0.062123701,0.26578757538666664,Wayne,NC
1766,37193,3.833333333,68460,0.141767422,0.288203177,0.016857103,0.2509665427735849,Wilkes,NC
1767,37195,6.833333333,81336,0.556995918,1.241706753,0.370226622,0.28743321294545454,Wilson,NC
1768,37197,4.333333333,37665,0.07322036500000001,0.16046219099999998,0.0265132625,0.23302647064285714,Yadkin,NC
1769,37199,5.5,17667,0.0602634,0.101895381,0.022119422,0.26876233215384615,Yancey,NC
1770,38001,7.333333333,2351,0.005984369,0.009066619,0.003522572,0.27131881133333335,Adams,ND
1771,38003,7.0,10836,0.278775601,0.419695136,0.236477987,0.2943618777692308,Barnes,ND
1772,38005,3.8333333334999997,6886,0.005077077,0.0104813605,0.002201402,0.26917547875000003,Benson,ND
1773,38007,7.0,946,0.001329613,0.002364311,0.00106469,0.19138756,Billings,ND
1774,38009,4.166666667,6589,0.002296019,0.003799785,0.001457765,0.24239271642857144,Bottineau,ND
1775,38011,6.0,3195,0.0495612375,0.0903590915,0.04867241,0.26304151000000003,Bowman,ND
1776,38013,6.666666667,2213,0.0019569105,0.003254748,0.0008135005,0.2075873825,Burke,ND
1777,38015,8.333333333,93737,1.943357817,4.161387887,0.712341432,0.23423588492727274,Burleigh,ND
1778,38017,13.5,174202,3.1556434319999997,6.7352320575,1.4506556345,0.24607136769791668,Cass,ND
1779,38019,4.5,3824,0.001946368,0.003321619,0.000708186,0.2821077562,Cavalier,ND
1780,38021,7.333333333,4970,0.108890303,0.210774403,0.121627197,0.29612519057142855,Dickey,ND
1781,38023,4.916666666499999,2369,0.004442317,0.006426324,0.0024574905000000003,0.206976419,Divide,ND
1782,38025,5.166666667,4387,0.00243359,0.003757221,0.001542125,0.17018873533333334,Dunn,ND
1783,38027,6.5,2313,0.008549534,0.016606437,0.006197618,0.26456641100000006,Eddy,ND
1784,38029,5.416666667,3352,0.002096685,0.0033605184999999996,0.001046565,0.28535452175,Emmons,ND
1785,38031,9.5,3290,0.270269729,0.52980736,0.225317269,0.2673277296666667,Foster,ND
1786,38033,5.5,1882,0.001972934,0.003522247,0.0012484904999999998,0.2539732145,Golden Valley,ND
1787,38035,14.66666667,70400,3.3592643234999997,6.5304272005,1.2363940935,0.25877301748148146,Grand Forks,ND
1788,38037,5.5,2380,0.001841356,0.002498421,0.0006392225,0.2673786185,Grant,ND
1789,38039,5.916666666499999,2266,0.0054945495,0.010187842,0.0045136049999999995,0.3272592475,Griggs,ND
1790,38041,6.666666667,2576,0.001982787,0.003401109,0.001140389,0.254907283,Hettinger,ND
1791,38043,3.833333333,2460,0.002153066,0.002950886,0.000324005,0.2933825536666667,Kidder,ND
1792,38045,6.166666667,4100,0.0036085235,0.006329145500000001,0.002359583,0.28079743575,LaMoure,ND
1793,38047,6.416666666499999,1927,0.002147272,0.003613551,0.001322735,0.3438095235,Logan,ND
1794,38049,5.25,5927,0.0026029635,0.004467975,0.0007416924999999999,0.24226953950000002,McHenry,ND
1795,38051,8.166666667,2654,0.093747993,0.160553285,0.08804069,0.32446192166666665,McIntosh,ND
1796,38053,5.333333333500001,12536,0.0042651695,0.009983234,0.015748441000000002,0.175465902,McKenzie,ND
1797,38055,4.833333333500001,9608,0.0041736055,0.00472883,0.0024154940000000002,0.24555081639999998,McLean,ND
1798,38057,5.5,8570,0.137397707,0.302323678,0.058616798,0.23073926585714286,Mercer,ND
1799,38059,7.083333333500001,30544,0.1804427025,0.4156733805,0.1150252785,0.22372655854999998,Morton,ND
1800,38061,6.166666666499999,10152,0.008014288500000001,0.0123951635,0.0076378869999999995,0.17346346333333332,Mountrail,ND
1801,38063,6.083333333500001,2920,0.0026133735,0.0038139645,0.0009882765,0.298244742,Nelson,ND
1802,38065,4.583333333500001,1837,0.0022301115,0.0040811115,0.0017591454999999999,0.23104097,Oliver,ND
1803,38067,6.666666666499999,7016,0.008983242,0.015252425,0.012380885,0.2798518956,Pembina,ND
1804,38069,7.666666667,4210,0.214995132,0.3423831,0.133645622,0.2855894642,Pierce,ND
1805,38071,7.0,11557,0.24454714,0.590959719,0.4246474645,0.26435645,Ramsey,ND
1806,38073,6.333333333500001,5361,0.055819681999999995,0.0943652675,0.051527215499999994,0.2867428933333333,Ransom,ND
1807,38075,4.5,2495,0.002020834,0.004826035,0.000659086,0.277647215,Renville,ND
1808,38077,5.833333333,16288,0.105331239,0.208506576,0.085312144,0.24105385433333334,Richland,ND
1809,38079,5.416666666499999,14603,0.0322419445,0.0842791,0.0150725845,0.24850937041666665,Rolette,ND
1810,38081,4.083333333500001,3883,0.0065165635,0.0128630065,0.005912102,0.223786421,Sargent,ND
1811,38083,5.666666667,1405,0.001419914,0.002314362,0.000365686,0.284274194,Sheridan,ND
1812,38085,3.8333333334999997,4413,0.002591294,0.010057176000000001,0.002850847,0.27127013075,Sioux,ND
1813,38087,4.666666667,704,0.000728284,0.001102606,0.000150355,0.316666667,Slope,ND
1814,38089,7.5,30876,0.8182272755,1.7202932100000001,0.6644545575,0.19459081570833334,Stark,ND
1815,38091,5.75,1910,0.0035813535000000004,0.0050597525,0.001735772,0.26050841399999997,Steele,ND
1816,38093,6.583333333500001,21064,0.5974843155,1.34543073,0.536111853,0.23885479322727274,Stutsman,ND
1817,38095,6.5,2246,0.004113998,0.007085781,0.00271908,0.28228089633333336,Towner,ND
1818,38097,7.083333333,8019,0.10289727850000001,0.2083306075,0.051777567999999996,0.2619424144,Traill,ND
1819,38099,4.666666667,10802,0.008832859,0.018230441,0.003612072,0.2619501663076923,Walsh,ND
1820,38101,7.833333333500001,69034,1.4805362375,3.4356224245,0.4687660385,0.23876772626,Ward,ND
1821,38103,4.5,4055,0.004260354,0.006318537,0.001778677,0.3312201282,Wells,ND
1822,38105,8.4166666665,34061,1.300633729,2.4240955815,0.9169624825,0.163576523,Williams,ND
1823,39001,4.25,27878,0.034551163499999996,0.07825257099999999,0.010520224500000001,0.26577793077272727,Adams,OH
1824,39003,7.0,103642,0.7407716049999999,2.0163797025,0.430826347,0.28139631319565217,Allen,OH
1825,39005,6.416666666499999,53477,0.142124189,0.288913127,0.1258492955,0.2470868721818182,Ashland,OH
1826,39007,6.166666667,98136,0.2340465395,0.5302342475,0.1162818525,0.2500275409680851,Ashtabula,OH
1827,39009,6.416666666499999,65936,0.19058339200000002,0.39821159149999996,0.0455521435,0.25767446,Athens,OH
1828,39011,5.833333333,45784,0.497941161,1.155715288,0.234502199,0.24086724280487806,Auglaize,OH
1829,39013,6.583333333500001,68472,0.2315957555,0.5261850189999999,0.11699482950000001,0.2532500291029412,Belmont,OH
1830,39015,4.25,43679,0.0663724205,0.1422546885,0.018566278,0.23266233856250002,Brown,OH
1831,39017,8.666666667,378294,1.595188498,4.00323849,0.436791056,0.23490037998501873,Butler,OH
1832,39019,4.333333333,27578,0.074313373,0.150207883,0.024381497,0.24422146911999998,Carroll,OH
1833,39021,4.5,38864,0.0677742385,0.15489591400000002,0.014639823,0.23425945755882352,Champaign,OH
1834,39023,6.5,135198,1.704072055,3.3049699855,0.33519562849999995,0.2544118043235294,Clark,OH
1835,39025,6.166666667,203216,0.6652343705,1.7001779369999999,0.21247833,0.21582718781355933,Clermont,OH
1836,39027,5.333333333500001,41896,0.13432952450000002,0.341834379,0.0736120465,0.23296846678125,Clinton,OH
1837,39029,5.833333333,104003,0.3034771655,0.6386175595,0.0735285735,0.25911990909574467,Columbiana,OH
1838,39031,5.0,36574,0.130780536,0.272850422,0.050303411,0.2412388723939394,Coshocton,OH
1839,39033,6.916666666499999,42021,0.9199969865,1.7640921905,0.19334942700000002,0.2501016863125,Crawford,OH
1840,39035,12.33333333,1253783,4.326588221,8.4327953015,1.019771427,0.26680359228485373,Cuyahoga,OH
1841,39037,5.166666666499999,51734,0.0653398955,0.14369052300000001,0.0414294945,0.24791450017307692,Darke,OH
1842,39039,6.0,38279,0.152197264,0.365342802,0.1042747995,0.2502893488611111,Defiance,OH
1843,39041,7.166666667,197008,0.9571581995,2.6328983325,0.4092113435,0.20053752509090908,Delaware,OH
1844,39043,8.666666667,75136,1.2343794909999999,2.3847787135000003,0.5002346715,0.26642848484285714,Erie,OH
1845,39045,6.333333333,152910,0.6874029335,1.3074843995,0.1332791935,0.22294882341489364,Fairfield,OH
1846,39047,5.0,28645,0.1899140255,0.38491152149999996,0.12444989399999999,0.25375994984615385,Fayette,OH
1847,39049,12.0,1275333,3.568133432,7.960007786,1.217591125,0.24653038879932354,Franklin,OH
1848,39051,5.333333333,42305,0.129959274,0.287123356,0.053210643,0.24582066941935485,Fulton,OH
1849,39053,4.166666667,30195,0.058181975,0.11010054,0.017301378,0.25184887416,Gallia,OH
